"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Christensenellaceae_R-7_group"	"Location"	"Center"	"LocationCenter"	1.30419478930106	-0.366942410777038	0.704772380187021	0.0416854258912213	0.850581548632962	0.0816331770507102	0.93843919025082	NA	"abundance"	205	143
"Clostridia_vadinBB60_group"	"Sex"	"Female"	"SexFemale"	-1.43431977696016	0.120634302437176	0.712138416769148	0.0494374773332044	0.850581548632962	0.0964308905013376	0.93843919025082	NA	"abundance"	205	70
"Fusobacterium"	"FIScore"	"FIScore"	"FIScore"	-1.89211244695033	-0.109824456238188	0.78598030302368	0.0452295699588279	0.850581548632962	0.0884134259189953	0.93843919025082	NA	"abundance"	205	17
"Prevotella_9"	"FIScore"	"FIScore"	"FIScore"	-2.47968348521351	-0.109824456238188	0.892294169452585	0.0424837215543385	0.850581548632962	0.0831625765115704	0.93843919025082	NA	"abundance"	205	28
"Unknown"	"Age"	"Age"	"Age"	0.263750783051076	0.0217147887600172	0.0897778603912588	0.0483814787898098	0.850581548632962	0.0483814787898098	0.830253550381854	NA	"abundance"	205	205
"[Eubacterium]_fissicatena_group"	"Sex"	"Female"	"SexFemale"	2.46504640846203	0	1.20236942839989	0.0403490875740614	0.850581548632962	0.0790701262800635	0.93843919025082	NA	"prevalence"	205	35
"[Eubacterium]_hallii_group"	"Sex"	"Female"	"SexFemale"	-3.21515375518397	0	1.66643143841966	0.053685620426538	0.850581548632962	0.104489095012494	0.951333957524848	NA	"prevalence"	205	178
"[Ruminococcus]_gauvreauii_group"	"Age"	"Age"	"Age"	1.60978061718923	0	0.827634372424903	0.0517703594902213	0.850581548632962	0.100860548858696	0.951333957524848	NA	"prevalence"	205	123
"CAG-352"	"Sex"	"Female"	"SexFemale"	-3.19198296841641	0	1.63192934295401	0.050470266928291	0.850581548632962	0.0983932860127691	0.93843919025082	NA	"prevalence"	205	26
"CAG-56"	"Age"	"Age"	"Age"	1.9739326628464	0	1.00867020316361	0.0503515393238734	0.850581548632962	0.0981678011354632	0.93843919025082	NA	"prevalence"	205	32
"Collinsella"	"Location"	"Center"	"LocationCenter"	4.09102197773876	0	2.11652849815995	0.0532494467866787	0.850581548632962	0.10366338999027	0.951333957524848	NA	"prevalence"	205	124
"Defluviitaleaceae_UCG-011"	"FIScore"	"FIScore"	"FIScore"	0.90592408069333	0	0.441316954788164	0.0400944770535332	0.850581548632962	0.0785813870168701	0.93843919025082	NA	"prevalence"	205	18
"DTU089"	"Age"	"Age"	"Age"	-1.24734511730167	0	0.624236775092798	0.0456958160282309	0.850581548632962	0.0893035244539759	0.93843919025082	NA	"prevalence"	205	38
"Enterococcus"	"Age"	"Age"	"Age"	2.25448164830238	0	1.12450141077551	0.0449767084481282	0.850581548632962	0.0449767084481282	0.830253550381854	NA	"prevalence"	205	12
"Erysipelotrichaceae_UCG-003"	"FIScore"	"FIScore"	"FIScore"	-2.46767616141898	0	1.25264397854678	0.0488413419771274	0.850581548632962	0.0952972072681282	0.93843919025082	NA	"prevalence"	205	49
"Family_XIII_AD3011_group"	"FIScore"	"FIScore"	"FIScore"	0.668157587624156	0	0.331738174725445	0.0439978553297642	0.850581548632962	0.0860598993859095	0.93843919025082	NA	"prevalence"	205	75
"Holdemanella"	"FIScore"	"FIScore"	"FIScore"	-8.02454933962068	0	4.01003819020182	0.0453799507462808	0.850581548632962	0.0887005615628268	0.93843919025082	NA	"prevalence"	205	29
"Holdemanella"	"Location"	"Center"	"LocationCenter"	11.6840731994125	0	5.96756733932488	0.0502383435542667	0.850581548632962	0.0979527959454569	0.93843919025082	NA	"prevalence"	205	29
"Hydrogenoanaerobacterium"	"Location"	"Center"	"LocationCenter"	3.89548201541706	0	1.92569729190991	0.0430840495618858	0.850581548632962	0.00128032189166807	0.283911379477395	NA	"prevalence"	205	23
"Intestinibacter"	"Location"	"Center"	"LocationCenter"	-2.04892611533985	0	1.04395177652888	0.0496852793940396	0.850581548632962	0.0969019317996154	0.93843919025082	NA	"prevalence"	205	110
"Ligilactobacillus"	"TimeNW"	"TimeNW"	"TimeNW"	1.68963855147067	0	0.874271311345839	0.0532824162753894	0.850581548632962	0.103725816666635	0.951333957524848	NA	"prevalence"	205	23
