Eigvals	3
615.6742036610734	585.8053917669525	116.4851080854061

Proportion explained	3
0.5151659734875785	0.4663929584958303	0.018441068016591244

Species	12014	3
b77aef498325173696cab04b50f636d3	-0.001029576141916709	0.00010876122020382743	-0.0003922233965651362
n81	-0.01728255580948021	-0.0036471632298343964	-0.00576510911721113
79b3ed4c67a719588ab4d9982212e37a	-0.0033467674135314878	0.0019230547634372936	-0.0009530157245973319
1def31dc9ad25e2a0cf0d445a75e07ca	-0.0026321149499381954	0.0013936668589137888	-0.0007424329477807787
2b4cd0972fc5ae5192a37c9cc343bc43	-0.004919020693878066	0.0028289021936037948	-0.0013880981388906376
e4f8712a2ad271a9aa8904f2ee1f346c	-0.001088503030186913	0.0026373821260104544	-0.0008718423177317367
fc9a0684892311f220409f4e8ce20916	-0.0004606692864964634	0.0005559803371304365	-0.00034368377294220927
7310fea1bd43dad2258fab05beb655e4	0.004987791173036948	-0.00345571129183592	0.002611939539755316
n88	-0.005877198923920828	0.00558511054944132	-0.0022419900590061903
n89	-0.002355070100721154	0.002111644162463127	-0.0014197358992435018
n90	-0.007416507294508125	0.003620646910787079	-0.0020127734639701
n91	-0.007888923981527423	0.007413174195272498	-0.003448604038789496
bfccecae09066b05376a584e8d56f569	0.0008465649088730229	-0.0022933664509786887	-0.0003022673995070671
0e04faf59ff1c45f24fe528c131d7dab	0.0010058215123050912	0.006820262560613447	0.00024243314023051114
5f4c650e0f30d57d9abe5137948959b2	0.002536376138501693	0.0035082275086314053	0.001697618618741668
4bb43f2ca0764313b5d548b11dd86b30	-0.0011041935383550785	-0.0012559744575151917	-0.000799289991915764
n96	0.0014130245683029563	-0.005407090767080753	-0.0005849871510720828
n97	-0.0017060795719551528	-0.0018860009777240143	-0.0012241272212387153
0e64f2df01dfff70aca560ce3f4cbf86	-0.00021608297086248604	-0.0014758834713168706	-8.473204074648542e-05
2c9801122b022b19f99102c73beeeafb	0.004116838132021671	-0.000970022790502511	0.0009790141057966352
b2a5f16261b87a4dec85e88fb50e6e8f	0.0008435930716253773	0.005718809171292612	0.00019899644130212636
n101	-0.00220508645405034	-0.0010012587975497347	-0.0005700237920620837
3fa61ca1708249896da86eb5cce28da0	0.0032771956754370757	0.0019438918908441082	0.0006161386456671037
402a7a58679f9b076893ba4a75ebceaf	-0.0016320296179232383	-0.004177874264437482	-0.0001795578429633262
n104	-0.005100346290800365	-0.0062299402796758335	-0.0008542474100045516
37091890702b398c175bfaac705c4c12	0.004984751738529703	-0.0011733977441218736	0.0011910738284789189
n106	-0.006616501726000929	-0.005552482147865424	-0.0012378880837431746
6fc9b015817a452c3f1c542bf2ceb0a6	0.004899807216977898	-0.001153493011667771	0.0011703190994960088
n108	-0.005622105099550222	-0.004556102715683675	-0.0010648059542033696
8f9dd42ea998a47bad43aace685c4b06	0.0032466984922441535	0.001925748797493182	0.0006101551583595378
n110	-0.0037192777586855215	-0.0038621671050007157	-0.0009498431776122784
n111	-0.009178734297280512	-0.0070067453497358176	-0.0017455627970942474
aa419f4fbeae23262b28e70f7f93178d	0.0035246242222696047	0.006808753847757184	0.00022721247608748567
eb620d1d608d6ddaba2ebb66fed6a1ee	-0.0011788623073094753	-0.002285831603821183	-0.00011173127795084536
544a49ac536f66b839f8be46953b8b23	0.019700377674474367	0.009367752866242212	0.007789177606161195
n115	-0.0014869244056747667	-0.0028814954928015144	-0.00013393092143663198
n116	0.019225746227040187	0.008449726425863205	0.007757743413101014
56747fd14a0d5414d633d2949055da0e	-0.0037428784737161395	-0.001645033438064538	-0.0027201663932727538
f45ec8e43c50f19b6344853cbca26720	-0.004278859944878725	-0.0012000600793608295	0.003094442567762653
n119	-0.006344574853821201	-0.0029185934875946623	-0.0036974748411985774
n120	-0.006450927862111028	-0.002913538840392556	-0.0038590162940265013
d95195eca7409b4bc3aa8396f3325707	0.004883598401111118	-0.008934026376081691	0.005973429786299606
0918c683b0503dbd9b0333009136ad9f	0.0009779416610184246	0.006630971727484586	0.00023496830421635087
67f3bab13401d68ec1358d05bb0dd991	-0.00035822154727749934	-0.002440936307241294	-0.0001227896743154204
c91cf0782a4de97b16f9b766ee767455	0.0010451159557149487	0.007087053005580578	0.0002529542356734629
n125	-0.0004034328660487423	-0.00274789950116465	-0.0001348950143741277
1ce19f83e9695517096feb66bd4226f9	0.012782615952528206	0.006486161845422556	0.002680770592340089
n127	-0.0006390569466421457	-0.004347674121988354	-0.00019798341124295792
n128	-0.01166525930097754	-0.00243308970725849	-0.008404110097874819
n129	-0.014946288405641625	-0.015271112443184878	-0.002502507663940088
n130	-0.008133968604058383	-0.008980866980295979	-0.0016052592379761084
n131	0.019948395424786283	0.0143888944606969	0.011234514503018742
n132	-1.88937923703627e-05	-0.0033507351773657506	-0.001564390847504123
n133	-0.025582020218892075	-0.015855164233112982	-0.009964056809745615
64dc697e0d57a8cd34e085bf4c4b9b6d	-0.0025561408973239458	0.0014675384628001446	-0.0007342292874654873
a4bdaa9b683a5fbc052704fff64d4763	0.008253090434616335	-0.004760156875164062	0.0022569595517263432
ac13c50381d5608a522e887489e04b45	0.0074693417217765725	-0.0043086031933897715	0.0020400763774667667
n137	-0.0030921293389683845	0.0017763460566730196	-0.0008825509021436034
70667888e4ec221ea55c2c48e59b3c4a	-0.0026635290952284497	-4.4183811363442084e-05	-0.0006114299260372567
77931bda1b035aec724533e7a929b978	0.01060627836412127	0.0006395517414902376	0.002326983086288981
n140	-0.0058620323457977954	0.003372214579837297	-0.001649053413306422
n141	-0.00592274408850005	-0.00022398721525945762	-0.001333766795974683
71e82639b264368760411ba6445f0fb3	-0.0006891981653802992	-0.0046881089747947925	-0.0002114087330490862
n143	-0.010612719855095789	0.002831110069810954	-0.0026515407952290362
3fc90cec904a17184e57d415972ee596	-0.0014704188085221054	0.0001576426414323622	-0.0005486392178774497
199f2c3ea3ee07fa04e3db5a1af74d9c	0.006105405262011575	0.0025386034262053093	0.0015493832293937014
e1f21108c72794e6cfc9a3817c3ea45a	0.0010456623173633955	0.00035503257570568205	-0.0005143919445668222
084dd8f4e8b1100b8797545cd65e9f76	-0.002095684852365233	-0.0007284395633896027	0.0009512711235806553
906552cd8062807afe330d711e4a1cc4	-0.0012851624837395613	-0.0007703027106268982	-0.0002789870439847833
n149	0.0012742809148738633	0.000433884694716466	-0.0006210588670552753
ec1cdcd5c22b0d9d1f190f75bebee0cf	0.004049346258716517	0.0024032523512771326	0.0007676330700982308
n151	0.0028503036224874433	0.002183926141697213	0.0018419052639430584
f456ddac5e1146955695ff96ac780cb2	-0.0005237356313827748	-0.0044047735059737645	-0.0015078388320689457
bafb4b6fb34b1a1fc61be8765486cb4e	0.006792346383213994	0.006953996188768776	0.0030617675982239564
n154	0.0019953310681649064	0.001675316813933974	0.001674239362852466
n155	-0.002337186177968959	-0.007099276268573521	-0.001967611763556194
n156	-0.004319554109700778	-0.0016428978940481243	-0.0011717034696096446
n157	-0.0024621284074944497	-0.012372052205198325	-0.003279988900052039
n158	-0.010895557973319595	-0.0012325200202182372	-0.0027296703874354253
n159	-0.007347031154972728	-0.014263761016664638	-0.0045443627080767905
n160	-0.019615370089084518	-0.011759751066968282	-0.007401244787348123
n161	-0.01301997111315036	-0.007259527554422146	-0.004791388978954423
n162	-0.011130118237049322	0.009034947553631306	-0.004428847689644761
n163	-0.02560508308810536	-0.015288200132039296	-0.011392440952260512
n164	-0.03762695334141967	-0.004864842820719158	-0.012837816000734375
n165	-0.01850172602344356	-0.008899564193369543	-0.0076247664275141975
c2d8427fa34bf76ef3b2d198491b7f16	0.0027901179179043124	-0.0067754951874527255	0.0021381063233165284
3b7a099eb229f3613e13be73ebce3232	-0.001225724840701761	0.0029704005066138	-0.0009783313527802916
9d5256ac69d830ec4f01cc1650c543a1	0.013191066921449246	-0.004700623396924365	0.006305463252703273
fdbc26e29f910a344fb92ca022dbcd99	-0.0044773245140651416	0.0013376199234916312	-0.0015651032124419067
