	NW001	NW002	NW003	NW005	NW006	NW007	NW008	NW010	NW011	NW012	NW013	NW014	NW015	NW016	NW018	NW019	NW020	NW021	NW022	NW023	NW025	NW026	NW027	NW028	NW029	NW030	NW031	NW032	NW033	NW034	NW035	NW036	NW038	NW040	NW041	NW042	NW043	NW044	NW045	NW046	NW047	NW048	NW049	NW050	NW051	NW052	NW053
NW013	40.41771423809535	44.838228659544605	42.959893927351715	46.32754911697787	46.527825973383756	43.39809573159113	44.80569180626162	42.331480459223584	45.681393574665954	45.77375496240484	0.0	43.362501878830386	46.83076137598033	41.315132778404625	45.04252018699142	44.55307092348486	45.76147309355854	42.16568967629529	46.65186762152823	42.58454463648648	43.02809836673171	48.00803623702804	45.27898992313591	42.358098196015746	43.92227115287877	43.50135651406599	41.763315254002144	42.674296520049374	41.32378787346641	44.4180893538909	44.22840134707649	41.02901178099507	48.39472492681223	45.90871496644024	43.30624945452576	43.52428680513069	46.07422714636454	46.812652879829365	43.18011635165875	46.473243284646074	39.86120990256544	45.167333403929	43.717367873338574	40.92333687123805	42.55359488492127	47.01828200774197	40.430967108022664
NW014	42.13533252176203	44.19723649101074	42.346538165638535	44.12094091412829	45.20835929167413	39.82987022492789	42.61200315936682	45.04311809730243	43.187978672817664	41.99793340494244	43.362501878830386	0.0	45.05918841449739	41.66434030004679	43.30587372234033	43.714170011453966	44.306828450990146	41.86803337241019	42.01635171303847	42.2052520462539	43.98025842938583	43.818302124588875	45.44890747533636	41.68120208335095	43.93371552147324	42.170973448196925	41.778669410381816	43.37274086673522	42.86317590031012	42.96096470180166	43.2367796859392	42.20629305700337	44.7279464627004	43.87167685674601	43.44231857178681	43.762283203860605	44.817019308186836	43.46822629889214	40.346209922190184	44.3775557091365	40.4696463078497	42.54981353872506	44.51317761466741	40.758674760897264	41.18420226167577	43.491070107766944	40.213154771904144
NW015	44.06296496516161	44.12949441302105	41.92170242830863	44.844658713370066	45.91402002688482	43.36996870228694	45.914551850255236	46.78300007625456	46.098889060139385	46.906485547591664	46.83076137598033	45.05918841449739	0.0	42.13810345238541	44.85325001102509	45.00651415101399	45.38105739918641	40.72660223811089	46.366264134501996	43.120447193505896	42.58058308183233	46.23149513218884	45.351293591616255	44.86695302160792	45.08329471550847	44.41238972632234	43.912679999474626	45.631084220824725	43.56283592010902	43.939973138755555	46.11699195354189	44.16253604279808	45.95039228826598	45.21928523827279	45.34608813006026	43.571652918178934	46.25480836019637	44.17651806560191	43.09085173616058	45.22058875445616	43.26630166201808	45.916668182231874	43.669826068603925	41.69111262761309	43.266107436962194	46.073732442370584	42.39261620021199
NW016	37.5437989161384	43.409057153729016	40.87569936735225	42.447759994351934	45.17064057873785	41.33308266536392	44.250334895035635	40.64158985436113	43.692007251823796	44.716481703313654	41.315132778404625	41.66434030004679	42.13810345238541	0.0	41.85099659133157	31.30781044735625	45.03031592302856	38.44757337329698	44.054260121745315	41.452100734012966	41.111670727787555	42.9017969232013	44.500600860986715	41.945341848524436	41.56795927091726	41.81464121817453	38.149583026579	41.329371705129596	40.51012232607052	41.67353109461865	43.00330856414464	38.54380117778276	45.17166415285893	40.79645461624504	40.86461369233812	40.561929672886556	43.3886340833119	40.8578789761424	40.20958941427014	42.3724623640274	38.728993443758895	42.661042209718794	42.079063039273954	40.58816504967349	39.60891448721923	45.58035163041926	39.754538940593676
NW018	40.88503142952017	44.514106373003855	41.93048072287908	42.65765744487809	46.90691413756668	40.27191765068848	43.082451098759265	44.30888660836857	43.271182482314515	44.14439608482305	45.04252018699142	43.30587372234033	44.85325001102509	41.85099659133157	0.0	44.77414563360844	42.42061917649585	38.17788859050778	44.05370063079267	43.12813319561458	42.16287236333339	42.59794244747289	45.16291235656283	39.84417608203276	43.3346768051407	41.65058094661737	43.041240512962005	43.60713985469737	40.13267606653555	42.39155878229438	45.08008255479584	41.09891819261908	45.25949412193389	44.09853249702126	42.75673859011471	44.40592396025969	45.686280982596394	44.75390553596576	40.76082146845003	43.86365617121139	41.44661658762083	42.45590873268522	44.9783234618768	41.1079058049304	41.18355844134089	44.758323477318626	39.14943029580017
NW019	39.48312745227357	45.32253213509947	42.841312229106805	44.267419789566446	45.53871109039623	42.93602795501786	46.30297797704984	43.79258262087372	44.50787197011662	46.90468084523991	44.55307092348486	43.714170011453966	45.00651415101399	31.30781044735625	44.77414563360844	0.0	47.61207192359509	39.40456426068566	44.573179253247694	43.56526241815066	44.57488682193934	45.21422269875972	45.38466072286591	45.17487240571391	43.345580235685425	43.530813043925306	40.6078836938452	43.88831130347042	43.223220450239815	42.67594093423355	44.46709659845351	43.941644867379395	45.62093888244212	40.97831236944175	43.90952687780789	43.841197429767256	44.09265590705736	41.98458089480144	41.31643571744401	43.97457583275455	41.70565656808792	44.84782792860106	43.597292838072775	42.26412849748424	39.84296142145039	47.270142693221445	41.70555267764627
NW020	43.98398468431572	43.39342108812415	42.54173974856406	42.66619354498788	46.47952200946613	43.24862023560174	42.059369971720244	46.02743817889911	44.90823624550481	44.08239785038299	45.76147309355854	44.306828450990146	45.38105739918641	45.03031592302856	42.42061917649585	47.61207192359509	0.0	43.09530848932471	45.485151011201616	44.62673605213587	44.62813464863223	45.28326223877651	46.73672672567702	42.46324522312845	47.03040919138783	42.83749236733405	45.343051212641186	45.45329910630967	42.354739058142016	45.70688129396983	47.39127470363367	42.61647528593606	46.25140372361844	45.94042472591739	46.44979746500643	45.34908537664027	48.12714003805302	46.834423142877164	42.39393933322499	46.967390593493135	44.30912258754096	43.73217653309374	45.01798602233867	42.47138619382855	45.42811943013395	44.55119244795185	41.73140401167333
NW021	36.79037708431988	40.0856152986752	36.67976076521833	41.10228696828879	43.27757113758329	38.39694758368035	42.64244677241833	38.86747306035255	40.82912625374169	42.691527634292825	42.16568967629529	41.86803337241019	40.72660223811089	38.44757337329698	38.17788859050778	39.40456426068566	43.09530848932471	0.0	40.844073094298075	40.01566432205381	38.2879136140332	39.98224460230034	36.775975770845115	37.798117744990996	38.90194087571483	37.79365240015783	38.950063496049715	39.41797614881563	32.920037490085846	38.04688540384031	42.27638322575965	39.54054380713576	42.89358687361088	38.88462615065133	41.00514348225097	38.851030522654916	41.11992692041759	40.93608521002105	37.1641329722924	43.00374609290683	37.58108223003948	42.57115437605407	37.61448931074181	35.223577055217596	38.81966902419626	43.21291170665638	35.89710754673169
NW022	41.33854432664722	43.903790617206425	42.63035875551148	44.250655097451165	45.35164132241188	41.28562096643488	44.35516483221713	43.23591661636734	43.92618278443195	44.73135169814913	46.65186762152823	42.01635171303847	46.366264134501996	44.054260121745315	44.05370063079267	44.573179253247694	45.485151011201616	40.844073094298075	0.0	44.459471987400754	43.3139814364026	44.15093191817874	43.64001928427904	42.010643673553886	46.20745945880537	40.78252871098121	44.85500501802087	44.61955171609366	42.164920459262376	42.09521071178164	43.716880651152	43.038965231784616	46.16846573992875	44.53869224394035	44.79757834494473	45.271824512232264	46.49446289451761	43.269778026274935	39.815601319248614	44.929362981067335	42.41743065239713	42.99469156934541	45.14161743643506	40.36385028490664	42.404443871215825	44.898262480993495	39.961525170001764
NW023	41.949719835281115	44.09909393108442	38.74881965413004	45.16353995499126	46.16393497271456	42.25233408313348	45.37046153161115	44.56992332631682	46.125035427162494	45.38120733584088	42.58454463648648	42.2052520462539	43.120447193505896	41.452100734012966	43.12813319561458	43.56526241815066	44.62673605213587	40.01566432205381	44.459471987400754	0.0	36.590735018823786	46.22016708498623	45.72910184701768	44.43623866672833	40.20340527935456	43.256527020375906	42.12396059266537	43.60821610889615	43.08094228459067	44.09290047345292	43.417865671134095	43.46892406776249	44.492984686179625	42.619000206347344	43.527295729587564	43.24683913177852	46.0392112484349	42.953171060547945	42.62892958365938	42.610956999075185	39.58830256276978	44.63265208625758	44.64642029206332	41.74371669992837	37.901929478227615	45.785813397193394	41.76076442926096
NW025	39.85989293194856	44.182243972013886	41.403121067188295	44.36345966090393	46.344007545481986	41.52634633481119	44.33528540503057	42.420642526515316	46.21785521986093	44.7135433347162	43.02809836673171	43.98025842938583	42.58058308183233	41.111670727787555	42.16287236333339	44.57488682193934	44.62813464863223	38.2879136140332	43.3139814364026	36.590735018823786	0.0	45.422626671217834	45.04723894992274	43.46195363854561	44.528751478711854	40.84608535890493	42.31680865154677	42.321997972379776	39.58477039582749	43.038478175100785	44.39983097112206	41.95196188741225	46.17841055155375	43.15993177216464	42.329030891534785	41.264807123985904	46.51538638709661	42.99529368058998	41.34677333436328	42.39714433436077	39.73789202949757	43.83045099816294	43.41763414278621	39.079245153209946	42.314568364371496	45.5158249420272	39.86590659722962
NW026	41.45349590305561	46.01010678790906	43.84676890549685	43.93422065181179	47.17643614368214	44.72280346170398	46.273643654097455	45.197043211251106	44.12575161799213	46.467673761859466	48.00803623702804	43.818302124588875	46.23149513218884	42.9017969232013	42.59794244747289	45.21422269875972	45.28326223877651	39.98224460230034	44.15093191817874	46.22016708498623	45.422626671217834	0.0	46.334644400392655	42.28168261215998	44.95889393300839	42.49645147992416	41.9560919960725	45.80909583020713	43.90739505284906	44.12119809673694	47.33944605276843	43.56994246249346	45.8040647573803	45.738327444551196	44.89702390719575	45.005660655404235	47.019225927993546	44.92244499605029	42.40929991019511	46.517523643873275	44.6644465343346	43.44518204433383	45.58980680214054	42.85260824032979	43.67732776513009	44.82766439098604	42.24456965950882
