Eigvals	3
984.1297015378027	933.2734233294792	298.6838075084799

Proportion explained	3
0.5021516754201352	0.45159386668052826	0.04625445789933651

Species	12014	3
n160	0.01761864180830785	0.0016084320129177117	-0.00716549302082324
n161	0.009992805826379842	0.002687550708514104	-0.004514944131246654
n162	0.0012640110270869505	0.004469792509362626	-0.0033322300430500217
n163	0.02405585642379497	0.004365536877354237	-0.011828759630904429
n164	0.02458213807169244	0.015344790878444793	-0.011533752942814127
n165	0.014917324029980411	0.002329669519517814	-0.00680131786344411
c2d8427fa34bf76ef3b2d198491b7f16	0.0008736652627471665	-0.0015083889283444576	0.0006743373671928786
3b7a099eb229f3613e13be73ebce3232	-0.0008069066532204896	0.0016627661000728677	-0.001085013435737105
9d5256ac69d830ec4f01cc1650c543a1	-0.002613894054692934	-0.0020843834049991713	0.002421197404670262
fdbc26e29f910a344fb92ca022dbcd99	0.000613838759467241	0.0012842754556048907	-0.0010497801175390058
n170	-0.001034106243156117	0.0021063473190389257	-0.0013313073379388725
n171	-0.005293695452299525	-0.005193118376244924	0.004684102623595973
f07a73d527856cb8b7c1b7354e402e7d	0.000371361293412663	-0.0014539370667139763	-6.166683122904073e-05
1337429a2804d87a82e6ba51f11feedc	-0.0015625224931429577	0.0035251781220859485	-0.0001286946104802862
ea2b13cd3c412d9abd5c489edcc11593	-0.0032754418115682428	0.0032221615451384538	-0.00035229819249880614
4061564b17f87868b7a8e0040dc1f6e4	0.0003842833790511716	-0.0004690897857426518	-5.714266240030241e-05
n176	0.0009938302040979282	-0.002813019669439765	-6.171735027983146e-05
n177	0.001821877966587766	-0.001935915744022962	7.864791565524933e-05
n178	0.0007173719302757817	0.004271121064873995	-0.003191388992779343
n179	0.002621945339273361	-0.004364092173198615	0.00014304122228856971
55d5bbce647296e099d47dbdabe1b781	-0.005668715472899379	0.00489185659547731	-0.0006258679415748319
1b03ab1b7b44ac175842e249131402e1	0.0004857054711091338	-0.00058443716802844	-0.00010372134026018008
a2d3750dafcf79acd1d643109a05017e	0.0011500634102307077	-0.0009655268849201443	-5.547120693175737e-05
n183	-0.0069753072750514365	0.006398223095783693	-0.0006962906813495035
n184	0.004039294811281212	0.0002069490414951046	-0.003560922424392913
n185	0.004206242662924505	-0.0036578325262663445	0.00017108010425889202
n186	0.004367057720667269	-0.0011750911916869806	-0.0023640623269051376
a252de143ce956a08b4cdcba101beda3	0.0005972279888049343	0.000556786232482566	-0.0003858897749293128
n188	0.014256455116377839	0.0027126349535708315	-0.006099496109382174
n189	0.006713631706034157	-0.0010302580391152371	-0.0033742608559804324
da89b80aa0922e7b4c0097b497849003	-0.006902493057552095	0.0068666396060303395	-0.0008833134280702242
66fb7d05185e2f2f6c29a607ea5d58e7	0.0033298193082386064	-0.003018297317841319	0.0001557073566061985
083f4fb0997062e5c6725a88951da190	0.0021147755370148325	-0.0069438974182466215	0.0032979012292896153
950e6b38a99b0c431018914cf2d43365	-0.0009124982698497942	0.003006678826800811	-0.0016387170606197727
5e61b50f52f8cf4273253f9be3a98789	0.0019473842193554942	-0.011176205758431576	0.006132515040806748
n195	-0.0010577375094642269	0.0034780476835146366	-0.0018732528901230507
f1263a13cec3af1e77716e35dafcf58b	-0.0008012176894121849	0.005041072145208941	-0.0029887417738508402
n197	0.0016758215247534994	-0.010291768734455682	0.005694858827656474
n198	-0.0013830794635631106	0.008146077705352986	-0.00471017977038326
50c8413f2974e0dddc7ffddfa6ba5492	-0.0007737680072334088	0.0038489161376216666	-0.0021072138643648446
n200	-0.006664542676076413	0.0056706447498142305	-0.0003101955782370375
n201	-0.0019444510857162703	0.010893804043354879	-0.006031666541243655
n202	0.004123590060054768	0.008722475978002714	-0.007786621210416769
97e64962fadb1db52549a10a80cd0aad	0.0008134364907666374	-0.0008830404239009047	-8.216415337727434e-06
n204	0.03825766063568835	0.01294816509258298	-0.02215410346283267
n205	0.0040343796399329845	0.008420958819548251	-0.007547002399610424
n206	0.026474373134972123	0.014474019413900124	-0.01838572634113423
27d6d9aff4b627411d4994094e65290d	0.0028805755873827347	-0.0032109456082192833	0.0003505009429588459
708d7ca7c615332d4f593094c3b46e89	-0.003709615229405368	0.004084157412128624	-0.0007439766342495211
ac22e2c2fbbeb6bf6a4758b4e0e2d831	0.0007223768954940587	-0.0006642080055776966	-6.428667326266647e-05
e67d838d49e1a4811a3dd355c567c363	-0.0018677042041062677	0.0019428942946751423	-0.0003985958496655013
992396abc7482a9b3126ea0664c2fdf9	0.0005734779990027697	-0.000533247281148978	-7.691351132671822e-05
6f9fbf90cda787b9652bac9d6f3ee998	-0.0018543273001229562	0.002125130312924714	-0.00046601391501704237
n213	0.0009649089424844823	-0.0009459879208201878	-1.8313335996253788e-05
n214	-0.005487412054007736	0.005636351370829631	-0.0009028817622876629
634d37274782e426fb2dd887d16ec2d1	0.0003811428386089052	-0.0003155428192317773	-0.00011212991458634372
n216	0.0033445688827289997	-0.0034211207405597417	0.0003268474237989763
n217	0.0020316959517164986	-0.00197358112431201	0.00010933451826202936
n218	0.037213626003034864	0.021685184753824593	-0.02698066587030859
n219	0.005279153433843557	-0.005111945969689507	0.0004955596206198576
e9292223de40738a6e5426c4dde901b9	0.0001682487475247973	0.0003116650364811981	-0.0003541342216269217
1e67eee62b8122f78f7ee017f0e0b232	-0.0008726653123815024	-0.0009656634757767793	0.0004340090501194173
b353009bb625419c78ad2c96dc745608	0.0005431298474207982	0.00047350287109255567	-0.00034189921219834917
005f5d787c7927366beb60b041e34a4a	-0.005328542797111137	-0.005383524052511957	0.0021516636510091796
n224	0.0003995317166388592	0.0006794915659509584	-0.0005996225174235997
n225	0.001434331893017323	0.0013580860328606787	-0.0007124937565026508
8d128879e00ea52cf201d4408b72650c	-0.01821827843382326	-0.004944257265934329	0.0034971826606450913
n227	0.0009305642725335215	0.001004039832052775	-0.0006288878402667879
c3f834be273fffd3b872128d5a15c9b9	0.0031236982741608783	0.0011578940193285863	-0.0012174015608448995
n229	-0.028069296902858934	-0.016369381718778726	0.008809900885649499
b955e3364bfd9586f348d89009c33faa	-0.0009984750100073122	-0.0005038840344512523	-0.0003146342555167561
n231	0.024157687587177245	0.011956693901299564	-0.007767860396732462
57c9f40a24baf04da0041ba0e1732803	-0.0005637913451539071	0.0003759270737967874	-0.00043598752840139657
0b02b1c6a0b4aff852ab9ebb3e5f2b29	0.005712655792482052	-0.004496958427027941	0.0031197316011700536
