	pielou_evenness
NW042-1	0.7513813896187317
NW042-3	0.871219819944826
NW042-4	0.8200811460514374
NW042-5	0.7584666625924823
NW043-1	0.8744080965797258
NW043-3	0.8689333287189465
NW043-4-1	0.8829985561899802
NW043-4-2	0.8804533485257133
NW043-6	0.8971956312014056
NW044-1	0.8532989062014877
NW045-1	0.6972344168019761
NW045-2	0.7255742877664658
NW045-3	0.8466475305628859
NW045-4-1	0.8132783603265098
NW045-4-2	0.6983981230337284
NW045-5	0.7508152538776203
NW046-1	0.8699033779798504
NW046-5	0.8536200748076909
NW047-4	0.8073133057138282
NW047-5	0.8385463973294853
NW048-1	0.857646995824678
NW048-5-1	0.8959630046697611
NW048-5-2	0.8358157675945661
NW049-1	0.8391029801697578
NW049-3	0.8719132482783918
NW049-4	0.8020917636661746
NW049-5	0.8968724249387767
NW050-1	0.7485898086026752
NW050-2	0.7248124690285289
NW050-3	0.5923060019825632
NW050-4	0.6996744498229966
NW050-5	0.7580338820953605
NW051-1	0.8185300788932182
NW051-2	0.7858054199127069
NW051-3	0.7631303309009738
NW051-5	0.7787929020656682
NW051-6	0.7743859537816005
NW052-1	0.9118668599337677
NW052-2	0.9248688950770205
NW053-1	0.7541694518196831
NW053-2	0.6348880004078967
NW053-3	0.6523168002153293
NW053-4	0.702226146478391
NW053-5	0.6993954044130347
