	faith_pd
NW029-2	21.84031192526467
NW029-3	23.95696816929053
NW029-5	22.8509064875196
NW030-1	20.24587940724388
NW030-2	18.80583899604225
NW030-4	19.59239234507382
NW030-5-1	20.34631137542717
NW030-5-2	21.5875161179271
NW030-6	18.16741337196557
NW031-1	25.54531755721016
NW031-2	23.99903717830461
NW031-3	23.02131976917677
NW031-4	22.56606432672285
NW031-5	21.43747728858866
NW032-1	17.23355924472386
NW032-2	12.19111230512905
NW032-3	18.18868128810277
NW032-4-1	19.37850150968653
NW032-4-2	18.33555411804879
NW032-4-3	18.8390770806914
NW032-5	20.20620672076277
NW033-1	17.7255206707814
NW033-2	17.90145646640605
NW033-3	15.02823508408582
NW033-4	13.38854139586411
NW033-5	17.20872651369919
NW034-1	21.16578289572606
NW034-2-1	19.726070534461
NW034-2-2	22.13261122303372
NW034-3	21.15412053796348
NW034-4	21.52530211243545
NW034-5	21.1084487042895
NW035-1	25.9114870164674
NW035-2	25.94206650221194
NW035-4-1	26.12343530374109
NW035-4-2	27.27776289732049
NW035-5	26.26965658714892
NW036-1	17.5380607525201
NW036-2	17.88097608070871
NW036-3	19.04479379435481
NW036-4	19.25505938641411
NW036-5	19.36495657761775
NW038-1	30.73537885500982
NW038-2	30.21267742122206
NW038-3	30.84711645532809
NW038-4	30.97440705657228
NW038-5	29.84074874326816
NW040-1	26.39640509050687
NW040-2-1	29.6769107686934
NW040-2-2	29.34331612582032
NW040-3	26.73554027519753
NW041-1	20.77056521598125
NW041-2	22.52434002072602
NW042-1	24.68981458617933
NW042-3	24.04986219599433
NW042-4	24.25963647336563
NW042-5	24.28521103448537
NW043-1	30.79000299129807
NW043-3	28.4315188421514
NW043-4-1	30.81920538734254
NW043-4-2	31.04607533877633
NW043-6	29.6340423228735
NW044-1	29.35622173908043
NW045-1	23.19134537526685
NW045-2	21.23523766307538
NW045-3	24.09168147569164
NW045-4-1	23.38110337065727
NW045-4-2	21.93550177261537
NW045-5	22.77783696173667
NW046-1	26.11497989417548
NW046-5	27.65889445105732
NW047-4	19.4380526556962
NW047-5	17.4994243323749
NW048-1	22.88598458063493
NW048-5-1	22.21459111134158
NW048-5-2	21.92411306387276
NW049-1	18.68474154877999
NW049-2	20.16742096495246
NW049-3	16.17522146257971
NW049-4	16.34591731326034
NW049-5	20.84018400325483
NW050-1	18.45404752645558
