	shannon_entropy
NW034-2-2	6.366954169488819
NW034-3	5.979778968670555
NW034-4	6.666034875751277
NW034-5	6.2124062884042495
NW035-1	6.426920765536504
NW035-2	6.658742813734711
NW035-4-1	6.5368470312509235
NW035-4-2	6.3619264853401685
NW035-5	6.482546873785569
NW036-1	5.928149354247936
NW036-2	6.325573724498895
NW036-3	6.571368880799474
NW036-4	6.609626099021785
NW036-5	6.469124146491076
NW038-1	7.101910366008394
NW038-2	7.393962846423374
NW038-3	7.2255257759245
NW038-4	7.275203540003224
NW038-5	7.216504815502169
NW040-1	6.761471558896611
NW040-2-1	7.3498529272218365
NW040-2-2	7.1310892445508145
NW040-3	6.524365853439198
NW041-1	6.451055881430287
NW041-2	6.563807023271801
NW042-1	5.850821037657872
NW042-3	6.780578215829964
NW042-4	6.265117084393216
NW042-5	5.812588953280648
NW043-1	7.134023130800179
NW043-3	6.648816307975683
NW043-4-1	7.196560517438286
NW043-4-2	7.084704114653773
NW043-6	7.308608229030178
NW044-1	6.771815140694542
NW045-1	5.269438122674729
NW045-2	5.368762884268888
NW045-3	6.792880467891154
NW045-4-1	6.543714814579525
NW045-4-2	5.181948244211439
NW045-5	5.823647434784365
NW046-1	6.735237779911402
NW046-5	6.570743514380517
NW047-4	5.975519799349296
NW047-5	5.778864887783189
NW048-1	6.665438201552915
NW048-5-1	7.227624932506645
NW048-5-2	6.444381112060437
NW049-1	6.18386963582746
NW049-2	5.919209569450199
NW049-3	5.868272071476769
NW049-4	5.003117650542761
NW049-5	6.977361130753483
NW050-1	5.442091236554225
NW050-2	5.09024480240253
NW050-3	4.216689599717283
NW050-4	4.942669210204322
NW050-5	5.545435572251122
NW051-1	6.178424794813128
NW051-2	5.884303627216519
NW051-3	5.773587994621504
NW051-5	5.90779337100869
NW051-6	6.033660287607157
NW052-1	6.705441964065419
NW052-2	7.252770157169567
NW053-1	5.954089850590439
NW053-2	4.7263770615653655
NW053-3	4.532018373082304
NW053-4	5.376984960977665
NW053-5	5.288165871205748
