"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I"	"Sex"	"Female"	"SexFemale"	-0.0256275542070415	-0.0946946073416741	0.105566807974197	0.573125904641062	0.98142320767868	0.573125904641062	0.993695588454555	NA	"abundance"	46	46
"PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I"	"TimeNW"	"TimeNW"	"TimeNW"	0.0273248815337232	-0.0144260567140095	0.0539738611460698	0.597323285507624	0.98142320767868	0.597323285507624	0.993695588454555	NA	"abundance"	46	46
"PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I"	"Sex"	"Female"	"SexFemale"	-0.000696376113541191	-0.0946946073416741	0.0845346213736289	0.373436073729688	0.98142320767868	0.373436073729688	0.97794296831023	NA	"abundance"	46	46
"PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I"	"TimeNW"	"TimeNW"	"TimeNW"	0.0221420730172792	-0.0144260567140095	0.0432205918092272	0.612618600773788	0.98142320767868	0.612618600773788	0.993695588454555	NA	"abundance"	46	46
"PWY-7234: inosine-5'-phosphate biosynthesis III"	"Location"	"Centre"	"LocationCentre"	0.101454735815341	-0.134762365173622	0.269811397358544	0.394291093658804	0.98142320767868	0.394291093658804	0.98522843796502	NA	"abundance"	46	46
"PWY-7237: myo-, chiro- and scyllo-inositol degradation"	"Location"	"Centre"	"LocationCentre"	-0.0165399747502059	-0.134762365173622	0.142548484943136	0.441227543708308	0.98142320767868	0.375698953293283	0.97794296831023	NA	"abundance"	46	34
"PWY-7237: myo-, chiro- and scyllo-inositol degradation"	"Sex"	"Female"	"SexFemale"	0.00415947784774176	-0.0946946073416741	0.142978421523935	0.52989473034903	0.98142320767868	0.779001035446389	0.993695588454555	NA	"abundance"	46	34
"PWY-7237: myo-, chiro- and scyllo-inositol degradation"	"TimeNW"	"TimeNW"	"TimeNW"	-0.072586933602935	-0.0144260567140095	0.0725791880441311	0.533271398655724	0.98142320767868	0.782164412687215	0.993695588454555	NA	"abundance"	46	34
"PWY-7238: sucrose biosynthesis II"	"Age"	"Age"	"Age"	0.0803013420709809	0.115099219485005	0.0601809774931433	0.588923624592461	0.98142320767868	0.588923624592461	0.993695588454555	NA	"abundance"	46	46
"PWY-7238: sucrose biosynthesis II"	"TimeNW"	"TimeNW"	"TimeNW"	0.0204493565464085	-0.0144260567140095	0.0607981574014872	0.677508833318282	0.98142320767868	0.677508833318282	0.993695588454555	NA	"abundance"	46	46
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II"	"Location"	"Centre"	"LocationCentre"	-0.0872086744650666	-0.134762365173622	0.0662956157941067	0.575049261165464	0.98142320767868	0.575049261165464	0.993695588454555	NA	"abundance"	46	46
"PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II"	"Age"	"Age"	"Age"	0.0522507000134696	0.115099219485005	0.068583248230294	0.387595496023235	0.98142320767868	0.387595496023235	0.980622710853004	NA	"abundance"	46	46
"PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II"	"FI"	"FI"	"FI"	0.0291338102524015	-0.0218447081487729	0.0665053870418092	0.470053641635818	0.98142320767868	0.470053641635818	0.993695588454555	NA	"abundance"	46	46
"PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II"	"Sex"	"Female"	"SexFemale"	-0.00946761377644163	-0.0946946073416741	0.135516798344168	0.568270566909787	0.98142320767868	0.568270566909787	0.993695588454555	NA	"abundance"	46	46
"PWY-7312: dTDP-&beta;-D-fucofuranose biosynthesis"	"Age"	"Age"	"Age"	-0.0240826220219309	0.115099219485005	0.36356421048091	0.707300988010557	0.98142320767868	0.914327288380404	0.998451798775976	NA	"abundance"	46	21
"PWY-7312: dTDP-&beta;-D-fucofuranose biosynthesis"	"FI"	"FI"	"FI"	-0.274243323698084	-0.0218447081487729	0.337240599570989	0.466297064686211	0.98142320767868	0.378153534704231	0.980279247207519	NA	"abundance"	46	21
"PWY-7315: dTDP-N-acetylthomosamine biosynthesis"	"FI"	"FI"	"FI"	-0.29880215019686	-0.0218447081487729	0.370396193630633	0.462019490696254	0.98142320767868	0.710576971609282	0.993695588454555	NA	"abundance"	46	31
"PWY-7315: dTDP-N-acetylthomosamine biosynthesis"	"Location"	"Centre"	"LocationCentre"	-0.883160975324403	-0.134762365173622	0.814964525285884	0.367924901852854	0.98142320767868	0.600481070302276	0.993695588454555	NA	"abundance"	46	31
"PWY-7315: dTDP-N-acetylthomosamine biosynthesis"	"Sex"	"Female"	"SexFemale"	-0.57626089707616	-0.0946946073416741	0.757699986829032	0.53165040801583	0.98142320767868	0.712725588420938	0.993695588454555	NA	"abundance"	46	31
"PWY-7315: dTDP-N-acetylthomosamine biosynthesis"	"TimeNW"	"TimeNW"	"TimeNW"	-0.367595794985708	-0.0144260567140095	0.471961531651044	0.464098474614187	0.98142320767868	0.396608686561196	0.98522843796502	NA	"abundance"	46	31
"PWY-7316: dTDP-N-acetylviosamine biosynthesis"	"Sex"	"Female"	"SexFemale"	0.393131588795047	-0.0946946073416741	0.625460000785545	0.447772389196129	0.98142320767868	0.385428387223419	0.980622710853004	NA	"abundance"	46	23
"PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis"	"Location"	"Centre"	"LocationCentre"	-0.213588093102426	-0.134762365173622	0.166307640178806	0.652403201540018	0.98142320767868	0.652403201540018	0.993695588454555	NA	"abundance"	46	46
"PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis"	"TimeNW"	"TimeNW"	"TimeNW"	-0.105451573240531	-0.0144260567140095	0.0816140647977789	0.365710550736395	0.98142320767868	0.365710550736395	0.968877380286383	NA	"abundance"	46	46
"PWY-7340: 9-cis, 11-trans-octadecadienoyl-CoA degradation (isomerase-dependent, yeast)"	"TimeNW"	"TimeNW"	"TimeNW"	-0.31150491902068	-0.0144260567140095	0.611765627319299	0.643345867372818	0.98142320767868	0.422289571017271	0.993695588454555	NA	"abundance"	46	13
"PWY-7345: superpathway of anaerobic sucrose degradation"	"Age"	"Age"	"Age"	0.167041178556108	0.115099219485005	0.0884358015855573	0.571942761543108	0.98142320767868	0.571942761543108	0.993695588454555	NA	"abundance"	46	46
"PWY-7345: superpathway of anaerobic sucrose degradation"	"FI"	"FI"	"FI"	-0.0684496962865222	-0.0218447081487729	0.085756469175256	0.600818697196914	0.98142320767868	0.600818697196914	0.993695588454555	NA	"abundance"	46	46
"PWY-7356: thiamine diphosphate salvage IV (yeast)"	"FI"	"FI"	"FI"	-0.0964965915104972	-0.0218447081487729	0.187882000513376	0.694793942172629	0.98142320767868	0.885287856467004	0.998451798775976	NA	"abundance"	46	45
"PWY-7356: thiamine diphosphate salvage IV (yeast)"	"Location"	"Centre"	"LocationCentre"	0.132825858402563	-0.134762365173622	0.398626927797938	0.508748683290971	0.98142320767868	0.758672143831645	0.993695588454555	NA	"abundance"	46	45
"PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)"	"TimeNW"	"TimeNW"	"TimeNW"	0.0491881251464041	-0.0144260567140095	0.0596774892530129	0.445457438806402	0.98142320767868	0.445457438806402	0.993695588454555	NA	"abundance"	46	46
