feature	Bacteroidaceae	Lachnospiraceae	Tannerellaceae	Enterobacteriaceae	Ruminococcaceae	Marinifilaceae	Rikenellaceae	Akkermansiaceae	Oscillospiraceae	Streptococcaceae	Prevotellaceae	Bifidobacteriaceae	Fusobacteriaceae	Clostridiaceae	Barnesiellaceae	Peptostreptococcaceae	Coriobacteriaceae	Acidaminococcaceae	Veillonellaceae	[Eubacterium]_coprostanoligenes_group	Christensenellaceae	Erysipelotrichaceae	Unknown	Lactobacillaceae	Sutterellaceae	Desulfovibrionaceae	Erysipelatoclostridiaceae	Clostridia_UCG-014	Monoglobaceae	Muribaculaceae	Butyricicoccaceae	Eggerthellaceae	Anaerovoracaceae	Coriobacteriales_Incertae_Sedis	Porphyromonadaceae	Clostridia_vadinBB60_group	Pseudomonadaceae	uncultured	Peptococcaceae	Pasteurellaceae	UCG-010	Morganellaceae	Gastranaerophilales	Victivallaceae	RF39	Actinomycetaceae	Izemoplasmatales	Hungateiclostridiaceae	Enterococcaceae	Atopobiaceae	Oscillospirales	Puniceicoccaceae	Selenomonadaceae	Succinivibrionaceae	Carnobacteriaceae	Eubacteriaceae	Synergistaceae	Micrococcaceae	Family_XI	Oxalobacteraceae	DTU014	[Clostridium]_methylpentosum_group	Defluviitaleaceae	Anaerofustaceae	Staphylococcaceae	Campylobacteraceae	Corynebacteriaceae	Syntrophomonadaceae
NW012-5	-2.10511797611038	-1.16767357228935	-6.64998694132041	-7.77004269333812	-3.92652389190232	-7.93401842844924	-6.18508019261696	NA	-6.55962291366775	-10.296588507834	-5.60144308936237	-9.40350371175047	NA	-7.45050119128763	-5.93068271588599	-6.98154679853183	-6.74053869902804	NA	-4.27845457910872	-5.00240540342949	-11.1039434298916	-8.98846621247162	-11.3669778357254	NA	-7.26264117591062	NA	-4.91576672389302	-10.045049740838	-6.37149331684784	NA	-7.98846621247162	-8.90754621708805	-8.10394342989156	-9.55962291366775	NA	-12.3669778357254	NA	-10.296588507834	-9.60144308936237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW012-6	-3.26974093610811	-0.677002317735667	-7.34965577181783	-8.42120903284286	-4.44121472464591	NA	-7.36133757686546	-11.4964971601471	-6.10909522778245	-10.3038520822047	-7.08468356174254	-8.37311474464182	NA	-5.89871061906836	-7.79605744200601	-7.96400207932008	-5.84852486190014	NA	-6.66722746166105	-5.92881265085778	-9.98192398731734	-10.4964971601471	-11.4964971601471	NA	-8.0370655415098	NA	-3.82104412547803	-8.78029012614769	-7.27042908066725	NA	-7.4964971601471	-6.69652176845509	-6.96400207932008	-7.91153465942594	NA	NA	NA	-9.65999589242998	-10.7188895814835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.7188895814835	NA	NA	NA	NA
NW013-1	-1.50850877945363	-2.24132992132602	NA	-8.45230559905242	-3.94748661141958	-7.92874364299541	-3.8030494215351	-3.79409411630062	-4.45089740465961	-12.8673430983313	NA	NA	NA	NA	-4.51419627283318	NA	-6.35954845813257	NA	-7.18551905835752	-6.94451095885372	-5.69075436660794	-5.69741809688895	-10.6449506769948	NA	NA	-7.40791147969397	-5.19727702923369	-7.39702316355123	-7.02604084435032	NA	-7.38621640859465	-9.75186588091133	-8.05998817627366	-7.83759575493721	NA	NA	NA	-12.1303775041651	-13.4523055990524	NA	-9.99287398041512	NA	NA	NA	NA	NA	-11.6449506769948	-9.75186588091133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.6449506769948	NA	-11.2823805976101	NA	NA	NA	NA
NW013-2	-0.716990254095183	-2.18049028830266	NA	-4.65873663243666	-4.93764357595529	NA	-5.87467403163581	-10.2580026711873	-5.66782246119514	NA	NA	NA	NA	NA	-5.87167154347428	-6.67304017046616	NA	NA	NA	NA	-11.7815646272443	-6.81578034258224	NA	NA	NA	-8.19660212652317	-5.73990547560711	NA	-10.5336371138007	NA	-10.9742097051867	-9.82736831685745	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.1966021265232	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW013-3	-1.40974193316866	-1.75219861444616	NA	-9.77625421329195	-4.00576985607746	-9.07099747885308	-4.01846565436793	-14.299816169349	-4.39367717315358	NA	NA	-8.5184564558243	NA	NA	-5.04951775144263	-11.3929255737404	-12.4924612472914	NA	NA	-6.98240355558409	-9.59937645120787	-5.37648868392977	NA	NA	NA	-7.59245703726808	-4.76454079272816	NA	-4.80096696281724	NA	-9.34561985896209	-8.25542204999051	-10.3456198589621	NA	NA	-13.7148536686278	NA	NA	-10.7148536686278	NA	-12.1298911679067	NA	NA	NA	NA	NA	NA	-9.77625421329195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW013-4	-1.30395520736604	-1.92679493246896	NA	NA	-4.09628387677001	-9.5030612342203	-3.42789067160186	NA	-4.67211949184508	NA	NA	-9.34551995723382	NA	NA	-4.3346783975864	NA	-7.37061093819665	NA	NA	-7.17007795082394	-8.71164785603172	-6.07937964053221	-10.1160381111111	NA	NA	-9.15910683300294	-5.55244926118247	-6.89972020418429	-6.53816503517622	NA	-10.2966103567529	-6.7772361976593	-8.88157285747403	-8.37061093819665	NA	-13.2035009523614	NA	NA	NA	NA	-12.6185384516402	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.6185384516402	NA	NA	NA	NA
NW013-5	-0.918920793670338	-2.33190108270021	NA	-11.0194517337009	-3.12706070778751	-8.75641732786712	-4.27798474729977	NA	-6.18150849180989	-12.3413798285883	NA	NA	NA	NA	-5.14170748375191	NA	-7.45873677922643	NA	NA	-7.53402490653067	-7.89843633273955	-6.55347726919684	-12.0194517337009	NA	NA	-9.43448923297976	-5.82567999030423	-9.3871835182014	-6.52759863737124	NA	-10.7564173278671	-10.171454827146	NA	-9.58649232642481	NA	-13.3413798285883	-11.0194517337009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.7564173278671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.3413798285883	NA	NA	NA	NA	NA	NA
NW014-1	-1.55107965766218	-1.49316139170424	-4.37926808313695	-8.57566529594045	-3.74784627132313	-8.353272874604	-6.18793514265734	-8.09023846877021	-7.00682246058257	NA	-4.21811329132237	NA	NA	NA	-6.30264680153403	NA	-8.12500388693089	-6.81013054957747	-5.83150420037004	-9.02312427291167	NA	NA	-10.6752009694914	NA	-5.38452380858844	-6.43816177219052	-6.89759339082781	NA	-9.16062779666161	NA	-8.19715367268672	-8.83869970177424	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW015-1	-1.68283182804985	-2.39078530780084	-3.20583462164845	-7.07090504156234	-4.01801946131025	-6.87008603217424	-4.73777874007011	-3.50085222250852	-4.67591348448525	-10.8782599636199	NA	NA	NA	-8.72298173814203	-4.37190729759515	-10.2502287410069	NA	NA	NA	-7.09928684293216	-8.05228936339499	-9.87825996361994	-10.4308009866487	NA	-7.27160239179947	-7.32646432683399	-7.36041165875732	-4.7773587480448	-7.43080098664872	NA	-9.47971058712967	NA	-10.5303366601996	-12.0157634873699	NA	-9.53033666019964	-6.4428738189493	NA	-10.3376915822572	NA	-9.69383539248252	NA	-11.0157634873699	NA	-9.47971058712967	NA	NA	-11.3376915822572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.81412962620023	-11.3376915822572	NA	NA	NA	NA	NA	NA	NA
NW015-2	-2.33562561199856	-1.64437491825381	-3.19058048251212	-10.9860790468799	-3.06622255996825	-7.95633170348588	-4.40865021884419	-5.00118593927014	-4.37136920276473	-9.40111654615878	NA	NA	NA	NA	-3.97858451033301	NA	NA	NA	NA	-7.14477679289899	-10.9860790468799	-8.98607904687993	-10.1116099289638	NA	-8.04747959154408	-7.50495235714332	-7.17872412482233	-6.47300946464056	-6.45210047487758	NA	-8.36158818197214	-10.2491134527137	NA	NA	NA	-9.24911345271373	NA	NA	NA	NA	NA	NA	-9.24911345271373	NA	-10.7636866255435	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW015-3	-1.78312665580836	-1.92154738712385	-3.11146324609824	NA	-3.10964663090642	-6.51503396015154	-4.65638980939708	NA	-5.02731895638603	-9.57392764920511	NA	NA	NA	NA	-4.30090915479869	-9.52146022931097	NA	NA	NA	-7.27353271586739	-10.7438526506474	-10.6283754332275	-9.74385265064742	NA	-5.91096263648268	-7.11936178573963	-7.91942421523088	-5.74761456944362	-7.16894381459019	NA	-9.62837543322749	-11.1588901499263	-11.7438526506474	NA	NA	-9.42192455576006	-11.7438526506474	NA	-9.32881515136858	NA	NA	NA	-6.65638980939708	-10.6283754332275	-10.521460229311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.3288151513686	NA	NA	NA	NA	NA	NA	NA	NA
NW015-5	-1.65922584421664	-2.647544039169	-3.2692084867461	-7.21959473183441	-3.55376722801241	-6.32302432148981	-3.7429440421484	NA	-4.053708067643	-9.83203796897767	NA	NA	NA	-11.9475151863976	-3.55591356370343	-8.08953419127003	NA	NA	NA	-6.5381242502599	-8.67449669199119	-10.0730460684815	-10.0730460684815	NA	-6.90312106703915	-6.5437930003466	-7.91776784300355	-5.45566209006793	-7.63765992381082	NA	-10.3625526856764	NA	NA	-11.9475151863976	NA	-6.20156080900415	NA	NA	-10.2845501736752	NA	-7.36255268567645	NA	-9.62558709151024	NA	-10.8320379689777	NA	-12.2105495922314	-10.8320379689777	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.2105495922314	NA	NA	-12.2105495922314	NA	NA	NA	NA	NA
