Taxa_Name	NW001_3_all	NW002_2_all	NW003_3_all	NW005_3_all	NW006_3_all	NW007_2_all	NW008_1_all	NW010_2_all	NW011_2_all	NW012_3_all	NW013_3_all	NW014_1_all	NW015_3_all	NW016_1_all	NW016_2_2_all	NW016_5_all	NW018_3_2_all	NW019_3_all	NW020_3_all	NW021_3_all	NW022_4_all	NW023_3_all	NW025_3_all	NW026_3_all	NW027_2_all	NW028_3_all	NW029_3_all	NW030_2_all	NW031_3_all	NW032_3_all	NW033_2_all	NW034_3_all	NW035_2_all	NW036_3_all	NW038_3_all	NW040_3_all	NW041_2_all	NW042_3_all	NW043_3_all	NW044_1_all	NW045_3_all	NW046_5_all	NW047_4_all	NW048_5_1_all	NW049_3_all	NW050_3_all	NW051_3_all	NW052_2_all	NW053_3_all
Mediterraneibacter	0.13638	2.31704	2.14921	3.95516	0.96915	1.72334	4.4092	0.13749	0.29019	1.42118	4.76821	0.59364	0.15091	0	0.09233	0.66647	0.52722	0.05396	3.02524	2.45939	1.15853	1.55704	1.2494	1.42898	50.38235	0.6343	2.6205	3.20994	3.95109	0.93702	3.6456	2.15299	0.83878	3.70707	1.54509	4.06141	2.70589	2.17565	0.14836	0.75948	2.75036	0	2.07579	1.23514	0.63898	4.85426	0.02432	4.98001	4.55636
Lachnoclostridium	0.13563	1.4098	0.64264	0	0	0.21464	0.0056	0.06161	0	0.01426	0.09074	0	0.0471	0.49376	0.10368	0.44411	0	0.11531	0.58512	0.07718	0.1361	0.64993	0.01668	0.10229	3.58463	0.2861	1.10499	0.06047	0.11852	0.57489	1.5881	0	0	0.65077	0	0.26563	0.00775	0.29484	0	0	0	0	0.16697	0	0	0	0	0	0
Oscillospiraceae_unclassified	0.11512	0.37551	0	0.94663	4.13637	0	3.49252	0.63612	0.02135	3.05614	0.51231	0.08335	6.69979	0.03241	0.75399	0.9946	0.69401	1.0219	1.93142	5.84665	0.85289	0.97232	0.56318	0.0139	0	1.09774	0.2098	0.59517	0.76583	0.23093	0.02239	0.56319	2.34611	1.25587	3.51984	0.63908	0.20141	2.34069	2.84409	0.6663	3.18011	1.9409	0	0.00196	0.50284	0	1.54839	1.45721	0
GGB3819	0.11068	0	0	0	0	0	0.33785	0	0	0	0.07288	0.04515	0	0	0	0.34484	0	0	0	0	0	0	0	0.08922	0	0	0	0	0	0	0	0	0	0.28641	0	0	0	0	0.0403	0	0	0	0.23275	0	0	0	0	0.14606	0
GGB9760	0.07946	0.78749	0	0	0.16091	0	0.25372	0	0	0	0	0	0	0	0	0	0.01291	0	0.53537	0	0	0	0	0.12814	0	0	0	0	0	0	0	0	0	0.05468	0	0.01283	0	0	0.30833	0.32019	0.24385	0	0	0.00347	0.06566	0	0	0	0.01452
Ruthenibacterium	0.07237	0.37071	0.47821	0.19225	0.05807	0	2.98592	0.04641	0	0.65145	4.02588	0.09208	0.24602	1.36595	0.0568	0.79726	0.06596	0.02815	0.06204	0.29968	0.60781	0.6804	1.19149	0.13158	0	0	0.84557	0.06139	2.64749	1.64186	2.33087	0.15792	1.31817	1.43568	0.28858	1.00281	3.04693	0.70539	0.2685	0.09352	0.21913	1.61463	0.37841	0	0.04183	0.04222	0	0.59129	0.37515
Candidatus_Cibionibacter	0.06479	0.79036	0	0	0	0.02422	0.05252	0.23692	0.88727	0.011	0	0.2995	0	0	0	0	0.10232	0	0.85395	0	0	0	0.79789	0.19773	0	0	0	0.08651	0	0	0	0	0	0	0.38162	0	0	0	0.08223	0.0654	0.59052	0	2.85292	0	0.39312	1.93197	0	0.21624	0.29997
Adlercreutzia	0.05299	0.29265	0.17544	0	0	0	0.21513	0	0.13907	0.39356	0.83615	0.04216	0	0	0.03029	0	0	0	0.00314	0	0	0.07731	0	0	0	0	0	0.85509	0	0	0	0.14851	0.48904	0	0	0	0.43253	1.17872	0	0	0.32075	0	0	0	0	0	0	0.32358	0
Eggerthella	0.05181	0.20882	0.19875	0.04679	0	1.11108	0.18853	0.01123	0.02623	0.00965	0.12725	0	0.07265	0	0	0.00833	0	0	0.01052	0	0.31292	1.30129	0.04389	0	0	0.05354	0	0	0	0.29489	0.41642	0.27466	0.06582	0.08927	0	0	0.45437	0.12948	0	0	0.01433	0.09636	0	0	0	0.09085	0	0	0
GGB74403	0.05015	0	0	0.07808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
