Taxa_Name	NW001_3_all	NW002_2_all	NW003_3_all	NW005_3_all	NW006_3_all	NW007_2_all	NW008_1_all	NW010_2_all	NW011_2_all	NW012_3_all	NW013_3_all	NW014_1_all	NW015_3_all	NW016_1_all	NW016_2_2_all	NW016_5_all	NW018_3_2_all	NW019_3_all	NW020_3_all	NW021_3_all	NW022_4_all	NW023_3_all	NW025_3_all	NW026_3_all	NW027_2_all	NW028_3_all	NW029_3_all	NW030_2_all	NW031_3_all	NW032_3_all	NW033_2_all	NW034_3_all	NW035_2_all	NW036_3_all	NW038_3_all	NW040_3_all	NW041_2_all	NW042_3_all	NW043_3_all	NW044_1_all	NW045_3_all	NW046_5_all	NW047_4_all	NW048_5_1_all	NW049_3_all	NW050_3_all	NW051_3_all	NW052_2_all	NW053_3_all
FGB2918	0	0	0.2957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01413	0.07605	0	0	0	0	0	0	0	0	0
Clostridiales_unclassified	0	0	0.27462	0	0.03269	0	0	0	0.16169	0.49053	0.64955	0	0.02373	0.10182	0.02181	0.04032	0.29518	0	0.31402	0	0.01607	0.89878	0.04816	0	0	0	0.89568	0.23508	0	1.07848	0	0	0.15501	0.02173	0.11382	0.44649	0.01734	0.06428	0.05472	1.08548	0.13309	0.76242	0	0	0	0	0	0.05427	0
FGB3072	0	0	0.22336	0	0.30575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35081	0.00163	0	0	0	0	0	0.03179	0	0	0	1.23942	0	0.01554	0	0	0	0.01126	0	0	0	0	0	0	0	0.04612	0	0
FGB1227	0	0	0.14736	0	0	0	0	0	0	1.33779	0	0	0	0	0.09161	0	0	0.03469	0	0.00243	0	0.30016	0.58872	0	0	0	0.12231	0	0	0	0.07465	0	0	0	0	0	0.04673	0.34297	0	0	0	0.31837	0	0	0	0	0.01717	0	0
FGB14936	0	0	0.13149	0	0	0	2.69059	0	0	0	0	0	0.36791	0	0	0	0	0	1.3349	0	0.12464	0	0	0	0	0	0	0	0.42862	0	0	0	0	0	0.51312	0	0	0	0.22691	0	0.6803	0	0	0	0	0.03636	0	0	0
FGB2898	0	0	0.11128	0	0.15986	0	0	0	0	0	0.10591	0	0	0.1491	0.09943	0	0	0.16744	0	0.02621	0	0	0	0	0	0	0.07037	0	0	0	0	0	0	0	0	0.16982	0	0	0	0.04311	0	0.20327	0	0	0	0	0.01764	0	0
FGB3069	0	0	0.10987	0.02667	0.68033	0	0	0	0	1.16566	0.02501	0	0	0	0	0	0	0	0	0	0.61633	0.32202	0.40171	0	0	0	0.02946	0	0	0	0	0	3.12877	0	0.01661	0.72093	0	0.12109	0.02107	0.30265	0	3.07851	0	0	0	0	1.59433	0	0
FGB1776	0	0	0.0497	0	0.37903	0	0	0	0	0	0	0	0.24456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.60048	0	0	0	0	0.76272	0	0	0	0	0	0	0.08383	0	0
FGB1292	0	0	0.04617	0.10635	0.22332	0	0.08551	0	0	0	0	0.01826	0.05277	0	0	0	0.04281	0	0.09578	0	0	0	0.02191	0	0.44532	0	0	0	0	0	0	0	0.02138	0.11501	0.15555	0	0	0.03477	0	0	0	0.36783	0	0	0	0.06443	0	0.06515	0
FGB2989	0	0	0.02251	0.09506	0	0	0.0433	0	0	0	0	0	0.0765	0	0.30467	0	0	0.23635	0	0	0	0	0	0	0	0	0	0	0.14351	0	0	0	0	0	0	0	0	0.03113	0	0	0	1.23832	0.25102	0	0	0	0.04087	0	0
FGB72926	0	0	0	1.61248	0.0535	0	0	0	0.00737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25567	0	0.48035	0	0	0	0	0.06615	0	0	0	0	0	0	0	0	0
FGB72924	0	0	0	0.68551	0	0	0	0	0.21038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03299	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGB38642	0	0	0	0.48478	3.67522	0	0	0	0.17653	0	0	0	0	0	0	0	0	0	0	0	0.039	0.07624	0	0	0	0	0	0	0.03532	0	0	0	0.06839	0	0.07806	0	0	0	0.15053	0.03581	0	0	0	0	0	0	0	0	0
FGB1258	0	0	0	0.38097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08033	0	0.13865	0	0	0	0.13284	0	0	0	0	0	0	0	0	0	0
FGB2404	0	0	0	0.35597	0	0	0	0	0	0	0	0	0	0	0	0	1.46611	0	0	0	0	0.1648	0	0.13572	0	0	0	0	0	0	0	0	0	0	0.86501	0.38542	0	0	0.744	0.18589	0	0.35944	0	0	0	0	0	0	0
FGB1226	0	0	0	0.02741	0.19885	0	0	0	0	0	0	0	0.0144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044	0	0	0.12502	0.04336	0	0	0	0	0	0	0	0	0.03062
