#mpa_vOct22_CHOCOPhlAnSGB_202403
clade_name	NW001_3_all	NW002_2_all	NW003_3_all	NW005_3_all	NW006_3_all	NW007_2_all	NW008_1_all	NW010_2_all	NW011_2_all	NW012_3_all	NW013_3_all	NW014_1_all	NW015_3_all	NW016_1_all	NW016_2_2_all	NW016_5_all	NW018_3_2_all	NW019_3_all	NW020_3_all	NW021_3_all	NW022_4_all	NW023_3_all	NW025_3_all	NW026_3_all	NW027_2_all	NW028_3_all	NW029_3_all	NW030_2_all	NW031_3_all	NW032_3_all	NW033_2_all	NW034_3_all	NW035_2_all	NW036_3_all	NW038_3_all	NW040_3_all	NW041_2_all	NW042_3_all	NW043_3_all	NW044_1_all	NW045_3_all	NW046_5_all	NW047_4_all	NW048_5_1_all	NW049_3_all	NW050_3_all	NW051_3_all	NW052_2_all	NW053_3_all
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	14.76302	2.1738	13.13449	0.0	0.8007	0.0	0.0	8.71651	0.13448	0.0	0.0	0.40499	0.0	0.0	12.36166	52.04993	3.75918	12.54016	0.01034	2.90077	0.04177	0.04742	8.70084	0.0	0.0	0.0	0.19819	1.14959	1.26732	5.25374	0.0	0.0	5.08938	6.21399	2.12549	8.57021	0.0	0.0	1.40672	8.81314	0.0	6.35351	19.33191	0.40993	5.93962	0.0	3.11629	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	12.65333	39.78092	18.80387	54.78233	23.18344	34.42848	47.05742	10.97392	48.06092	44.67844	42.28256	47.13875	40.13881	18.81584	14.96433	38.487	20.5114	14.03297	51.11207	18.47936	43.87132	22.46741	11.71875	51.78646	81.79638	36.00877	13.53183	25.85542	19.58275	29.69717	37.19466	21.72227	30.18786	34.86983	24.34091	16.25124	34.7225	47.92301	35.08153	18.52334	38.12456	31.91657	31.47557	34.93455	53.92457	21.30621	15.61966	57.36295	29.03328
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	6.42286	0.0	0.0	1.28212	4.48986	0.0	3.69219	9.7859	0.0	0.98928	0.0	0.40487	0.0	0.04437	0.15733	0.43587	0.31528	0.16309	2.00119	0.0	9.00455	0.0	0.06721	0.22199	0.0	0.0	0.0	0.0	0.58535	0.0	0.0	0.0	1.30531	0.15422	0.35274	1.39209	6.80196	0.0	0.23495	0.30236	0.28584	1.3481	4.46037	0.96513	0.0	0.0	2.34187	0.21099	0.27593
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1.76486	10.11952	0.0	1.41449	0.06373	0.0	0.11615	0.72843	0.57245	0.0	0.0	0.02456	0.12471	0.0	4.98128	0.07298	0.0	7.0233	1.36592	0.0	0.14516	0.0	0.0	4.43631	1.54257	13.80285	0.0	0.0	9.99124	0.99718	0.12022	0.18191	0.76391	1.58734	0.0	0.03959	0.38497	0.22064	0.0	0.0	1.2905	0.0	0.0	0.73058	0.62476	0.0	0.52494	3.70468	17.77231
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	1.70811	0.0	0.73164	0.90112	0.60526	0.45835	0.21392	1.07352	0.0	0.0	0.54427	0.76539	0.71822	1.1288	1.08358	0.29506	0.70173	0.61334	0.0	0.34438	0.47432	0.69954	0.09659	0.2083	0.0	0.0	2.3046	0.34383	0.21228	1.10466	0.0	0.22084	0.45598	0.04016	1.385	1.04229	0.63437	0.91832	0.89589	0.59246	0.56476	0.25348	1.2479	3.63796	0.51084	0.07085	0.45055	1.06295	0.41681
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	1.08763	0.16954	0.3873	0.09379	1.91412	0.42636	0.58036	0.73629	0.07585	2.1046	0.08445	1.26	1.89149	1.31139	0.09122	0.39275	0.21819	0.00193	0.5944	0.09479	0.57867	3.77815	0.42216	0.63427	0.0	0.2291	6.4015	0.30919	1.39157	0.14682	0.61474	0.57543	4.0735	0.36023	0.19635	5.19781	0.48097	0.8902	0.37325	0.62006	0.09036	4.33657	0.50541	0.0	0.35131	0.29407	4.19187	0.33754	0.55189
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.90483	0.36257	0.0	0.35338	0.04575	3.78372	0.0	0.40846	0.34966	0.01631	0.0	1.81517	1.24911	1.02999	0.47684	0.0	1.62035	0.30418	1.9112	0.0	0.07108	0.0	0.0	2.51482	0.0	0.0	0.0	0.19691	0.04483	0.0	0.0	1.54292	0.0	0.0	0.37501	0.23664	1.64466	0.2162	0.0	0.05307	0.84959	0.00495	0.18587	1.33125	0.0	0.0	0.06115	0.57384	0.0
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	0.77015	0.0	0.0	0.51016	0.0	0.0	0.0	1.4964	0.0	0.0	1.49908	0.0	0.0	0.09165	0.0	0.69757	0.0	0.0	0.0	0.62627	0.0	0.0	0.22352	0.0	0.0	0.0	1.20295	0.98889	0.0	1.38507	1.07382	0.0	0.0	0.0	0.0	0.0	1.23167	1.06303	0.0	0.0	0.0	0.50141	0.77875	0.16226	0.77895	0.0	0.68189	0.43354	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	0.4592	0.50147	0.38111	0.07078	0.14508	1.11108	1.33537	0.01123	0.23891	0.61891	1.07653	0.04216	0.07265	0.0	0.07268	0.00833	0.0	0.09224	0.01366	0.0	0.31452	1.37861	0.04389	0.14593	0.0	0.0829	0.02192	0.85509	0.05171	0.29489	0.41642	0.42317	0.55485	0.08927	0.4325	0.12249	0.97176	1.33993	0.0	0.12651	0.37388	0.31993	0.0	0.0	0.04079	0.09085	0.00358	0.32358	0.01946
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.06479	0.79036	0.27462	0.0	0.03269	0.02422	0.05252	0.23692	1.04896	0.50153	0.64955	0.2995	0.02373	0.10182	0.02181	0.04032	0.3975	0.0	1.16797	0.0	0.01607	0.89878	0.84605	0.19773	0.0	0.0	0.89568	0.32159	0.0	1.07848	0.0	0.0	0.15501	0.02173	0.49544	0.44649	0.01734	0.06428	0.13694	1.15088	0.7236	0.76242	2.85292	0.0	0.39312	1.93197	0.0	0.27051	0.29997
k__Bacteria|p__Firmicutes|c__CFGB74461|o__OFGB74461	0.0294	0.13777	0.0	0.03703	0.0	0.0	0.0	0.03535	0.0	0.00642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01555	0.0	0.0	0.0	0.03386	0.0	0.05969	0.02314	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.01553	0.53148	0.12788	0.09846	2.91273	0.0	5.32834	0.0	0.16058	0.60527	5.36697	0.33938	0.35203	0.71743	4.77188	0.20796	0.03087	7.37858	0.13075	0.11626	1.49467	1.05136	0.01188	0.013	3.27457	0.0	1.53819	0.57423	0.1437	0.04911	0.31773	0.11455	0.76289	0.64246	3.38892	2.05936	0.07449	3.53932	0.41283	0.09012	0.15391	1.05505	0.00281	0.47358	0.3664	0.83868	0.0	1.45559	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0.01344	0.49294	0.2839	0.0	0.2638	0.0	0.33846	0.0	0.0	0.0	0.0	0.06256	0.0	0.39556	0.0	0.03645	0.0	0.0	0.0	8.25653	0.1256	0.0	0.11952	4.07166	9.54743	1.02828	1.26161	1.19995	0.02798	0.0	0.27806	0.0	0.34093	0.0	0.0	4.64316	0.0	0.6346	2.16752	0.87924	0.42657	0.0	4.93461	0.0	0.36495	54.86656	0.0	0.0	20.01954
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	28.86835	0.0	12.90724	19.96928	2.51701	24.97345	11.59387	41.15853	27.26818	18.23494	30.13641	26.8335	27.06291	30.2387	15.82434	2.25567	48.2447	18.27033	6.33427	46.81907	12.48116	11.07155	43.41352	22.65992	0.0	27.60254	10.59594	54.60026	14.61145	42.85587	39.56082	45.88441	6.13226	39.51893	8.4157	11.02251	32.09421	8.21151	3.85732	24.42072	29.90322	7.2433	22.56277	38.64419	20.29627	3.25413	9.14594	11.60097	12.33078
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	20.96996	0.0	0.0	1.50819	0.07005	1.67899	6.44456	15.86068	0.0	0.0	0.0	1.22553	0.0	2.17341	3.47656	1.14153	0.0	3.09603	0.0	3.47972	0.32119	1.9646	1.01866	2.48874	0.0	0.0	2.56877	0.0	0.0	1.92995	0.0	0.27111	2.73188	3.79452	1.69057	1.32547	3.30136	1.1396	2.03025	1.03558	1.27089	0.03488	3.83181	2.23115	1.08722	0.13399	0.50706	1.5621	0.27733
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	14.76302	2.1738	13.13449	0.0	0.8007	0.0	0.0	8.71651	0.13448	0.0	0.0	0.40499	0.0	0.0	12.36166	52.04993	3.75918	12.54016	0.01034	2.90077	0.04177	0.04742	8.70084	0.0	0.0	0.0	0.19819	1.14959	1.26732	5.25374	0.0	0.0	5.08938	6.21399	2.12549	8.57021	0.0	0.0	1.40672	8.81314	0.0	6.35351	19.33191	0.40993	5.93962	0.0	3.11629	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	6.81077	7.01706	26.19822	9.06871	1.22296	0.02806	7.76292	6.01105	5.08679	5.44986	6.39196	2.99928	6.62797	5.12354	11.86813	0.13984	15.47676	12.93598	8.48522	7.40283	3.05342	4.31381	19.73806	4.33122	0.0	0.0	22.0904	6.63563	6.98236	0.0	4.64269	9.18926	2.15689	10.12425	21.34417	10.44205	8.15405	14.7568	4.12718	9.28897	4.1408	1.43119	3.53223	9.43322	6.58512	13.61836	8.26163	8.10669	8.91388
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	6.42286	0.0	0.0	1.28212	4.44454	0.0	3.69219	9.7859	0.0	0.98928	0.0	0.40487	0.0	0.04437	0.15733	0.43587	0.31528	0.16309	2.00119	0.0	9.00455	0.0	0.06721	0.22199	0.0	0.0	0.0	0.0	0.58535	0.0	0.0	0.0	1.30531	0.15422	0.35274	1.38876	6.80196	0.0	0.21093	0.30236	0.28584	1.3481	4.46037	0.96513	0.0	0.0	2.34187	0.21099	0.27593
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	5.69045	17.44532	6.55121	32.74598	4.96752	18.88436	26.28642	6.1558	17.04286	19.20649	16.14836	31.6071	15.23351	5.87009	4.1057	23.98135	9.03876	3.11566	25.62897	6.49721	20.89387	8.25826	6.81372	24.51329	68.64029	22.35465	8.9191	11.10158	5.97132	17.19763	21.7807	11.97262	2.67875	18.62808	9.88077	6.83253	19.57054	33.41062	8.7801	2.98933	14.6163	6.47547	15.13478	23.51301	35.72268	11.9777	0.95821	36.6858	15.10207
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	4.08548	10.50869	10.78118	14.74642	14.67395	6.22499	15.43111	3.76609	18.3588	19.76075	25.67278	7.6554	17.2966	6.48943	8.56615	3.32733	5.62954	9.1214	14.41075	10.05316	18.5698	8.52114	3.97621	10.04266	0.0	5.38814	3.31905	11.5027	12.28795	5.9741	9.27746	5.47408	11.87599	10.1206	12.37645	8.02318	12.76355	9.28286	19.1194	13.48379	12.07487	23.9097	9.02672	0.5354	12.21983	6.70376	10.54969	9.65259	12.36241
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2.64508	9.46185	2.11217	3.2565	0.05991	0.90078	0.52048	2.70433	0.44083	0.32007	0.0	2.80867	5.54215	5.06927	8.96837	0.226	4.04781	9.44232	13.53956	8.59167	1.00366	5.04502	3.29834	1.50852	0.0	1.90452	5.62158	2.63065	3.98199	0.0	5.48894	9.9283	1.28063	2.36542	2.39232	6.91196	1.42002	5.51751	1.16956	2.41431	1.71943	1.8186	0.77201	0.66267	6.02311	1.76476	2.80868	0.56712	3.2845
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	1.70811	0.0	0.73164	0.90112	0.60526	0.45835	0.21392	1.07352	0.0	0.0	0.54427	0.76539	0.71822	1.1288	1.08358	0.29506	0.70173	0.61334	0.0	0.34438	0.47432	0.69954	0.09659	0.2083	0.0	0.0	2.3046	0.34383	0.21228	1.10466	0.0	0.22084	0.45598	0.04016	1.385	1.04229	0.63437	0.91832	0.89589	0.59246	0.56476	0.25348	1.2479	3.63796	0.51084	0.07085	0.45055	1.06295	0.41681
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	1.69485	2.73165	0.3757	2.9652	0.44044	0.18953	1.23683	1.01485	0.89243	0.97781	0.04764	0.98739	1.37776	0.24961	0.16337	1.12546	1.30132	0.11465	2.13229	0.37716	0.78471	1.17742	0.2709	0.61711	0.0	1.9654	0.70308	0.50516	0.15798	2.52818	1.42887	1.36605	8.19302	2.12031	1.25076	0.58727	0.67164	1.42855	0.98465	0.6278	1.4499	0.71502	1.31594	1.02386	3.18827	0.27141	0.4223	1.28734	0.53506
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	1.15589	9.09173	1.09578	4.24011	2.18966	7.9679	2.50635	0.03719	8.40241	4.68882	0.07781	5.99464	6.23094	6.10586	2.04148	9.7307	1.88616	1.575	8.6312	1.54118	0.5786	4.5106	0.24325	13.76191	12.10056	4.89275	0.48744	2.41804	0.79378	2.81382	4.00764	1.83505	7.23824	0.33861	0.66342	0.22934	1.4089	3.01466	6.0238	0.88293	8.71119	0.59075	5.14712	9.86228	2.1452	0.33885	3.44996	9.19017	0.40316
