Feature ID	Taxon	Confidence
e019ad162a2ffc69be775e76e19e48a9	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	0.9505336004495402
adbc953ebe8db30b425a051df0809bf8	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	0.9997524253295947
d331cf7c3a0ca520695512bbb752900f	d__Bacteria;p__Firmicutes;c__Clostridia	0.9059707146214079
8a562b5d9eab6d1b6fd946308118a66c	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	0.9958364623255578
5f14f8f1b83f2f8206cbfc5255cfb977	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	0.9929373371011069
14a3cd387ac1189745ed9e18906b9ca3	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.998715749930439
d9f69245e967055a1198c98ba75b0629	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Candidatus_Stoquefichus;s__	0.765574609740907
35fdaf3238e40260fa3b8ac6c44eaf84	d__Bacteria;p__Firmicutes	0.7047668641085902
1d0fd579027064ca4b6d90d750e9b969	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Cuneatibacter;s__	0.9996576788285133
0cab5c67f63a005a825cbc9497eab237	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9992103325948593
a7632783a79728ff8c7ea2bc42391493	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__	0.7022750869242469
446831c25a5e8722d82b5c920ea87a8f	d__Bacteria;p__Firmicutes;c__Clostridia	0.7437172389531667
fa58974f4d0ca0d272f55f50e29113d7	Unassigned	0.6016238515549455
ba16da89559c9c15430e77286aaf1812	Unassigned	0.6683576098411229
bc7820577c6f2b4c8cb0d75433ea558e	Unassigned	0.7089164270859049
765af55b9d751b47dbaa44ecfe75fb3f	Unassigned	0.718518304903027
a982f0bab06bb16e0909d1b480af5dad	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9845799523811215
7621510b85543d59dc3fca349497fe9e	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__	0.9864226937243432
